Latitude,City,Country
-0.25,Quito,Ecuador
0.3,Kampala,Uganda
0.33,São Tomé,São Tomé and Príncipe
0.38,Libreville,Gabon
-0.53,Yaren (de facto),Nauru
-1.28,Nairobi,Kenya
1.28,Singapore,Singapore
1.43,Tarawa,Kiribati
-1.93,Kigali,Rwanda
2.03,Mogadishu,Somalia
3.13,Kuala Lumpur,Malaysia
-3.43,Gitega,Burundi
3.75,Malabo,Equatorial Guinea
3.87,Yaoundé,Cameroon
4.17,Malé,Maldives
-4.27,Brazzaville,Republic of the Congo
-4.32,Kinshasa,Democratic Republic of the Congo
4.37,Bangui,Central African Republic
4.58,Bogotá,Colombia
-4.62,Victoria,Seychelles
4.85,Juba,South Sudan
4.88,Bandar Seri Begawan,Brunei
4.92,Cayenne,French Guiana
5.55,Accra,Ghana
5.87,Paramaribo,Suriname
6.12,Lomé,Togo
-6.17,Dodoma,Tanzania
-6.2,Jakarta,Indonesia
6.3,Monrovia,Liberia
6.48,Porto-Novo,Benin
6.8,Georgetown,Guyana
6.82,Yamoussoukro,Ivory Coast
6.9,Colombo,Sri Lanka
6.92,Palikir,Federated States of Micronesia
7.07,Majuro,Marshall Islands
7.48,Ngerulmud,Palau
-7.92,Georgetown,Ascension Island
8.48,Freetown,Sierra Leone
-8.52,Funafuti,Tuvalu
-8.57,Dili,East Timor (Timor-Leste)
-8.83,Luanda,Angola
8.98,Panama City,Panama
9.02,Addis Ababa,Ethiopia
9.07,Abuja,Nigeria
-9.43,Honiara,Solomon Islands
-9.5,Port Moresby,Papua New Guinea
9.52,Conakry,Guinea
9.93,San José,Costa Rica
10,Hargeisa,Somaliland
-10.42,Flying Fish Cove,Christmas Island
10.5,Caracas,Venezuela
10.67,Port of Spain,Trinidad and Tobago
11.55,Phnom Penh,Cambodia
11.58,Djibouti,Djibouti
-11.68,Moroni,Comoros
11.85,Bissau,Guinea-Bissau
-12.03,Lima,Peru
12.05,St. George's,Grenada
12.1,N'Djamena,Chad
12.12,Willemstad,Curaçao
12.13,Managua,Nicaragua
-12.18,West Island,Cocos (Keeling) Islands
12.35,Ouagadougou,Burkina Faso
12.52,Oranjestad,Aruba
12.65,Bamako,Mali
13.1,Bridgetown,Barbados
13.15,Kingstown,Saint Vincent and the Grenadines
-13.28,Mata-Utu,Wallis and Futuna
13.45,Banjul,Gambia
13.47,Hagåtña,Guam
13.52,Niamey,Niger
13.68,San Salvador,El Salvador
13.75,Bangkok,Thailand
-13.83,Apia,Samoa
-13.98,Lilongwe,Malawi
14.02,Castries,Saint Lucia
14.1,Tegucigalpa,Honduras
-14.27,Pago Pago,American Samoa
14.58,Manila,Philippines
