constellation,bestmonth,latitudestart,latitudeend,hemisphere
Andromeda,November,90,-40,northern
Antlia,April,45,-90,southern
Apus,July,5,-90,southern
Aquarius,October,65,-90,southern
Aquila,August,90,-75,northern
Ara,July,25,-90,southern
Aries,December,90,-60,northern
Auriga,February,90,-40,northern
Boötes,June,90,-50,northern
Caelum,January,40,-90,southern
Camelopardalis,February,90,-10,northern
Cancer,March,90,-60,northern
Canes Venatici,May,90,-40,northern
Canis Major,February,60,-90,southern
Canis Minor,March,90,-75,northern
Capricornus,September,60,-90,southern
Carina,March,20,-90,southern
Cassiopeia,November,90,-20,northern
Centaurus,May,25,-90,southern
Cepheus,November,90,-10,northern
Cetus,November,70,-90,southern
Chamaeleon,April,0,-90,southern
Circinus,July,30,-90,southern
Columba,February,45,-90,southern
Coma Berenices,May,90,-70,northern
Corona Australis,August,40,-90,southern
Corona Borealis,July,90,-50,northern
Corvus,May,60,-90,southern
Crater,April,65,-90,southern
Crux,May,20,-90,southern
Cygnus,September,90,-40,northern
Delphinus,September,90,-70,northern
Dorado,January,20,-90,southern
Draco,July,90,-15,northern
Equuleus,September,90,-80,northern
Eridanus,December,32,-90,southern
Fornax,December,50,-90,southern
Gemini,February,90,-60,northern
Grus,October,34,-90,southern
Hercules,July,90,-50,northern
Horologium,December,30,-90,southern
Hydra,April,54,-83,southern
Hydrus,November,8,-90,southern
Indus,September,15,-90,southern
Lacerta,October,90,-40,northern
Leo,April,90,-65,northern
Leo Minor,April,90,-45,northern
Lepus,January,63,-90,southern
Libra,June,65,-90,southern
Lupus,June,35,-90,southern
Lynx,March,90,-55,northern
Lyra,August,90,-40,northern
Mensa,January,4,-90,southern
Microscopium,September,45,-90,southern
Monoceros,February,75,-90,southern
Musca,May,10,-90,southern
Norma,July,30,-90,southern
Octans,October,0,-90,southern
Ophiuchus,July,80,-80,southern
Orion,January,85,-75,northern
Pavo,August,30,-90,southern
Pegasus,October,90,-60,northern
Perseus,December,90,-35,northern
Phoenix,November,32,-90,southern
Pictor,January,26,-90,southern
Pisces,November,90,-65,northern
Piscis Austrinus,October,55,-90,southern
Puppis,February,40,-90,southern
Pyxis,March,50,-90,southern
Reticulum,January,23,-90,southern
Sagitta,August,90,-70,northern
Sagittarius,August,55,-90,southern
Scorpius,July,40,-90,southern
Sculptor,November,50,-90,southern
Scutum,August,80,-90,southern
Serpens,July,80,-80,southern
Sextans,April,80,-90,southern
Taurus,January,90,-65,northern
Telescopium,August,40,-90,southern
Triangulum,December,90,-60,northern
Triangulum Australe,July,25,-90,southern
Tucana,November,25,-90,southern
Ursa Major,April,90,-30,northern
Ursa Minor,June,90,-10,northern
Vela,March,30,-90,southern
Virgo,May,80,-80,southern
Volans,March,15,-90,southern
Vulpecula,September,90,-55,northern
